#lipid_ID	mean(THICKNESS)	stdev(THICKNESS)
2307	3.839221	0.223977
2353	3.923262	0.244638
2399	3.847354	0.172539
2445	3.965596	0.210328
2491	3.867313	0.373233
2537	4.062840	0.149687
2583	4.054225	0.179235
2629	3.980227	0.218190
2675	4.015807	0.215612
2721	3.829617	0.189032
2767	3.953688	0.141786
2813	3.893858	0.208867
2859	3.879837	0.287959
2905	4.097962	0.162295
2951	3.994574	0.111766
2997	3.930528	0.180884
3043	3.829612	0.177791
3089	3.869518	0.259525
3135	4.040299	0.197462
3181	3.919413	0.213969
3227	4.050685	0.253718
3273	3.881415	0.258928
3319	4.008256	0.224385
3365	3.889331	0.203267
3411	3.867409	0.191903
3457	3.674945	0.234298
3503	3.984308	0.218313
3549	4.149932	0.210266
3595	4.086065	0.196172
3641	4.072496	0.095424
3687	3.839183	0.154469
3733	3.691968	0.260211
3779	3.651589	0.303461
3825	3.944962	0.176493
3871	4.120133	0.136516
3917	4.197278	0.230512
3963	4.260707	0.262907
4009	3.963795	0.204405
4055	3.707424	0.191567
4101	3.676602	0.284169
4147	3.953861	0.152886
4193	4.097861	0.187342
4239	4.076314	0.260488
4285	4.065160	0.185846
4331	3.871238	0.186130
4377	3.878360	0.353746
4423	3.844630	0.265907
4469	3.998080	0.135613
4515	3.973044	0.144430
4561	3.897115	0.199070
4953	3.585294	0.265581
4982	3.363476	0.334108
5011	3.200389	0.514517
5040	3.432153	0.261494
5069	3.246802	0.401043
5098	3.540925	0.269765
5127	3.534475	0.277976
5156	3.488561	0.345669
5185	3.459592	0.311633
5214	3.198274	0.410591
5243	3.441607	0.374577
5272	3.367236	0.316658
