#lipid_ID	mean(THICKNESS)	stdev(THICKNESS)
7	3.972750	0.145166
53	3.974655	0.191101
99	4.038157	0.162996
145	3.979978	0.176209
191	3.691123	0.545374
237	3.903363	0.189390
283	4.109538	0.156447
329	4.135222	0.144025
375	4.293303	0.200904
421	4.153779	0.197339
467	3.691440	0.332266
513	3.945681	0.205264
559	4.083106	0.154314
605	4.164962	0.167874
651	4.241633	0.308468
697	3.867669	0.283637
743	3.614285	0.218830
789	3.732267	0.187627
835	3.878735	0.219623
881	3.925053	0.235536
927	4.083711	0.213692
973	3.929872	0.274623
1019	3.982938	0.198918
1065	3.699737	0.211571
1111	3.849268	0.236449
1157	3.849440	0.178545
1203	3.989703	0.257258
1249	3.943557	0.229760
1295	4.049432	0.185948
1341	3.910102	0.187012
1387	3.951070	0.187932
1433	3.933585	0.202304
1479	3.813661	0.230446
1525	4.024592	0.156763
1571	3.999460	0.209732
1617	4.000613	0.186242
1663	3.857575	0.174597
1709	3.913994	0.127292
1755	3.832736	0.216529
1801	3.755428	0.300983
1847	3.955444	0.178407
1893	3.889312	0.216738
1939	4.039667	0.218190
1985	3.883162	0.257589
2031	3.887161	0.191272
2077	3.971006	0.227097
2123	3.815422	0.185189
2169	3.862628	0.196467
2215	3.948189	0.246262
2261	3.941884	0.223302
4605	3.728132	0.225614
4634	3.543950	0.337885
4663	3.439286	0.384404
4692	3.601024	0.225817
4721	3.241600	0.388991
4750	3.328606	0.328318
4779	3.698837	0.240169
4808	3.519666	0.333848
4837	3.505547	0.238362
4866	3.127581	0.438145
4895	3.399827	0.379711
4924	3.516001	0.257535
